Symbol,Tick,Company
CGCL,CGCL IS,CAPRI GLOBAL CAPITAL LTD
CARBORUNIV,CU IS,CARBORUNDUM UNIVERSAL LTD
CARERATING,CARE IS,CARE RATINGS LTD
CAREERP,CRPT IS,CAREER POINT LTD
CASTEXTECH,CAST IS,CASTEX TECHNOLOGIES LTD
CASTROLIND,CSTRL IS,CASTROL INDIA LTD
CEATLTD,CEAT IS,CEAT LTD
CELEBRITY,CFLI IS,CELEBRITY FASHIONS LTD
CELESTIAL,CBIO IS,CELESTIAL BIOLABS LTD
CENTRALBK,CBOI IS,CENTRAL BANK OF INDIA
CENTRUM,CECA IS,CENTRUM CAPITAL LTD
CENTUM,CTE IS,CENTUM ELECTRONICS LTD
CENTENKA,CENK IS,CENTURY ENKA LTD
CENTEXT,CEXT IS,CENTURY EXTRUSIONS LTD
CERA,CRS IS,CERA SANITARYWARE LTD
CESC,CESC IS,CESC LTD
CESCVENT,CESCV IS,CESC VENTURES LTD
CHALET,CHALET IS,CHALET HOTELS LTD
CHEMFAB,CHEMFAB IS,CHEMFAB ALKALIS LTD
CHROMATIC,CRDS IS,CHROMATIC INDIA LTD
CIGNITITEC,CIGN IS,CIGNITI TECHNOLOGIES LTD
CNOVAPETRO,CNPL IS,CIL NOVA PETROCHEMICALS LTD
CIMMCO,CIMCO IS,CIMMCO LTD
CINELINE,CNLI IS,CINELINE INDIA LTD
CINEVISTA,CNVC IS,CINEVISTA LTD
CIPLA,CIPLA IS,CIPLA LTD
CUB,CUBK IS,CITY UNION BANK LTD
CLEDUCATE,CLEDU IS,CL EDUCATE LTD
CMICABLES,CMI IS,CMI LTD
COALINDIA,COAL IS,COAL INDIA LTD
COCHINSHIP,COCHIN IS,COCHIN SHIPYARD LTD
COFFEEDAY,CCD IS,COFFEE DAY ENTERPRISES LTD
COMPINFO,CPGI IS,COMPUAGE INFOCOM LTD
COMPUSOFT,CPCS IS,COMPUCOM SOFTWARE LTD
CONTROLPR,CTPI IS,CONTROL PRINT LTD
CORDSCABLE,CORD IS,CORDS CABLE INDUSTRIES LTD
COROMANDEL,CRIN IS,COROMANDEL INTERNATIONAL LTD
CORPBANK,CRPBK IS,CORPORATION BANK
COSMOFILMS,CFLM IS,COSMO FILMS LTD
COUNCODOS,COND IS,COUNTRY CONDO'S LTD
CREATIVEYE,CEYE IS,CREATIVE EYE LTD
CREDITACC,CREDAG IS,CREDITACCESS GRAMEEN LTD
CREST,CREV IS,CREST VENTURES LTD
CRISIL,CRISIL IS,CRISIL LTD
CUBEXTUB,CUBX IS,CUBEX TUBINGS LTD
CUMMINSIND,KKC IS,CUMMINS INDIA LTD
CUPID,CUPD IS,CUPID LTD
CURATECH,CURA IS,CURA TECHNOLOGIES LTD
CYIENT,CYL IS,CYIENT LTD
DBREALTY,DBRL IS,D B REALTY LTD
DABUR,DABUR IS,DABUR INDIA LTD
DALBHARAT,DALBHARA IS,DALMIA BHARAT LTD
DAMODARIND,DMT IS,DAMODAR INDUSTRIES LTD
DCBBANK,DCBB IS,DCB BANK LTD
DCMSHRIRAM,DCMS IS,DCM SHRIRAM LTD
DCW,DCW IS,DCW LTD
DENORA,DENI IS,DE NORA INDIA LTD
DECCANCE,DECM IS,DECCAN CEMENTS LTD
DEEPIND,DEEPI IS,DEEP INDUSTRIES LTD
DEEPAKNTR,DN IS,DEEPAK NITRITE LTD
DELTACORP,DELTA IS,DELTA CORP LTD
DELTAMAGNT,DELM IS,DELTA MAGNETS LTD
DEN,DEN IS,DEN NETWORKS LTD
DFMFOODS,DFMF IS,DFM FOODS LTD
DHAMPURSUG,DSM IS,DHAMPUR SUGAR MILLS LTD
DHANBANK,DHLBK IS,DHANLAXMI BANK LTD
DHANUKA,DAGRI IS,DHANUKA AGRITECH LTD
DHUNINV,DINL IS,DHUNSERI INVESTMENTS LTD
DVL,DVL IS,DHUNSERI VENTURES LTD
DIAPOWER,DIPI IS,DIAMOND POWER INFRA LTD
DICIND,DICI IS,DIC INDIA LTD
DGCONTENT,DGCONTEN IS,DIGICONTENT LTD
DIGJAMLTD,DGJM IS,DIGJAM LTD
DBL,DBL IS,DILIP BUILDCON LTD
DISHTV,DITV IS,DISH TV INDIA LTD
DCAL,DCAL IS,DISHMAN CARBOGEN AMCIS LTD
DIVISLAB,DIVI IS,DIVI'S LABORATORIES LTD
DLF,DLFU IS,DLF LTD
DOLLAR,DOLLAR IS,DOLLAR INDUSTRIES LTD
DONEAR,DNI IS,DONEAR INDUSTRIES LTD
DPSCLTD,DPSC IS,DPSC LTD
DYNAMATECH,DYTC IS,DYNAMATIC TECHNOLOGIES LTD
DYNPRO,DYPL IS,DYNEMIC PRODUCTS LTD
EASTSILK,ESLK IS,EASTERN SILK INDUSTRIES LTD
EASUNREYRL,ERR IS,EASUN REYROLLE LTD
ECLERX,ECLX IS,ECLERX SERVICES LTD
EDUCOMP,EDSL IS,EDUCOMP SOLUTIONS LTD
EICHERMOT,EIM IS,EICHER MOTORS LTD
EIDPARRY,EID IS,EID PARRY INDIA LTD
EIHOTEL,EIH IS,EIH LTD
ELAND,ELAND IS,E-LAND APPAREL LTD
ELECTCAST,ELSC IS,ELECTROSTEEL CASTINGS LTD
ELGIEQUIP,ELEQ IS,ELGI EQUIPMENTS LTD
ELGIRUBCO,ELGI IS,ELGI RUBBER COMPANY LTD
